symbol,date,gamma_flip_line,underlying_price,1_day_ahead_high,1_day_ahead_low,1_wk_ahead_high,1_wk_ahead_low,1_mth_ahead_high,1_mth_ahead_low
SPY,2025-09-10,651.7884355884985,653.0599975585938,663.6197781385064,642.5002169786811,694.2874345775724,611.8325605396151,707.4579675257423,598.6620275914452
QQQ,2025-09-10,578.3688620491656,583.0,594.1556095342975,571.8443904657025,611.4177717028322,554.5822282971678,615.3474489544708,550.6525510455292
IWM,2025-09-10,236.24267399981608,236.7100067138672,242.0768037834787,231.3432096442557,249.2327028440428,224.1873105836916,253.2619533572472,220.1580600704872
DIA,2025-09-10,455.3376782244319,455.0299987792969,459.6194837041067,450.4405138544871,475.2415231055488,434.818474453045,482.2452013803417,427.814796178252
HYG,2025-09-10,93.16654673421009,80.86499786376953,81.56821153735464,80.16178419018442,83.19078849831484,78.53920722922422,83.11030656292407,78.619689164615
TLT,2025-09-10,86.43303401181714,89.3949966430664,90.63874549368737,88.15124779244545,92.39868339950844,86.39130988662438,93.15672656343344,85.63326672269936
SLV,2025-09-10,33.716233799747755,37.37990188598633,38.71873964801964,36.04106412395301,40.27657977650056,34.483223995472095,40.4692472911848,34.290556480787856
GLD,2025-09-10,308.3124077085581,335.6400146484375,343.165046821523,328.114982475352,354.3743073859982,316.9057219108768,351.5268299554885,319.75319934138645
SPY,2025-09-11,650.2966499186196,652.2100219726562,661.3152731921488,643.1047707531637,693.2818351880026,611.1382087573099,678.8661729556623,625.5538709896502
QQQ,2025-09-11,577.9494300596053,580.7000122070312,590.4768986780438,570.9231257360187,609.4563579727669,551.9436664412956,610.1193150037793,551.2807094102832
IWM,2025-09-11,236.01264235129125,236.42999267578125,240.6339106606704,232.2260746908921,248.17007364800224,224.68991170356023,250.278044003655,222.5819413479075
DIA,2025-09-11,454.6028950327513,455.9299926757813,459.78825305243873,452.07173229912377,475.8524273964613,436.0075579551012,470.1961543422212,441.6638310093413
HYG,2025-09-11,,80.83999633789062,83.2226808610364,78.45731181474486,84.27259569232557,77.40739698345568,88.88264638999878,72.79734628578247
TLT,2025-09-11,86.31411312583792,89.73999786376953,90.87572033462824,88.60427539291082,92.78543137908338,86.69456434845569,93.70127600355254,85.77871972398653
SLV,2025-09-11,33.7378511600957,37.40999984741211,38.66216935274148,36.15783034208274,40.1481451052493,34.67185458957492,40.03042449061009,34.78957520421413
GLD,2025-09-11,308.9450174096589,335.260009765625,340.19745370820533,330.32256582304467,351.7790792285264,318.74094030272363,349.97019210984786,320.54982742140214
SPY,2025-09-12,653.6123679959442,657.6300048828125,666.7442116648517,648.5157981007733,698.2162696860053,617.0437400796197,684.3465071558229,630.9135026098021
QQQ,2025-09-12,578.0081449271121,584.0800170898438,593.3957920852378,574.7642420944497,612.5418472952044,555.6181868844831,611.4240932332175,556.73594094647
IWM,2025-09-12,236.46318323337803,240.8000030517578,244.8929160633008,236.7070900402149,251.0407961190104,230.5592099845053,254.6267066678463,226.97329943566933
DIA,2025-09-12,452.8865618107114,461.9200134277344,,,482.91883168188747,440.9211951735813,477.5079272409652,446.33209961450353
HYG,2025-09-12,94.14594807494906,81.04000091552734,,,83.54560042080593,78.53440141024876,84.58648798987252,77.49351384118216
TLT,2025-09-12,86.95991335032909,90.33999633789062,92.05738218280644,88.6226104929748,93.233078795356,87.44691388042524,94.30112106175376,86.3788716140275
SLV,2025-09-12,33.018399453268174,37.790000915527344,39.009143649852064,36.570858181202624,40.74862553068317,34.83137630037152,40.44911439334516,35.13088743770953
GLD,2025-09-12,309.1946669451711,334.760009765625,339.49529430659186,330.02472522465814,349.8798356699986,319.6401838612514,349.0728080798518,320.4472114513982
SPY,2025-09-13,657.1538838506585,657.4099731445312,663.4030283159589,651.4169179731036,698.5221491821296,616.2977971069329,690.2911284536759,624.5288178353866
QQQ,2025-09-13,580.862288391121,586.6599731445312,595.823157471165,577.4967888178975,614.5405969529186,558.7793493361439,614.0002717803403,559.3196745087222
IWM,2025-09-13,236.201535957164,238.33999633789065,240.8336510137377,235.8463416620436,249.05360950290867,227.6263831728725,251.27245174697543,225.4075409288058
DIA,2025-09-13,453.17790850468725,459.3200073242188,,,477.1182301199327,441.5217845285048,473.59388311728856,445.04613153114894
HYG,2025-09-13,,80.95999908447266,,,83.85689055734548,78.06310761159983,85.72454345482241,76.1954547141229
TLT,2025-09-13,86.6708830763054,89.94999694824219,91.3618584320272,88.53813546445717,92.49064673865354,87.40934715783084,93.54726804888384,86.35272584760054
SLV,2025-09-13,35.16686786477917,38.34000015258789,38.87493272440562,37.80506758077016,41.20723401032198,35.4727662948538,40.981166731235646,35.698833573940135
GLD,2025-09-13,309.8699486308145,335.4200134277344,338.92942548026514,331.9106013752036,349.8646253028232,320.9754015526456,348.7140591064926,322.12596774897617
SPY,2025-09-16,656.630585845502,660.9099731445312,699.4184374004873,622.4015088885752,673.337141826581,648.4828044624815,687.7808443156387,634.0391019734238
QQQ,2025-09-16,584.6195448991493,591.6799926757812,616.1165611123681,567.2434242391944,605.5204502897795,577.839535061783,622.2673770688839,561.0926082826786
IWM,2025-09-16,236.5468371656964,239.3500061035156,248.1023001485668,230.59771205846448,247.127179580396,231.5728326266353,253.0952833111259,225.6047288959053
DIA,2025-09-16,454.3588709933372,460.0700073242188,474.7860251353115,445.353989513126,,,477.0257211187887,443.1142935296488
HYG,2025-09-16,81.35515037692305,81.19000244140625,83.40966670110147,78.97033818171103,,,83.86194617126098,78.51805871155152
